Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Black Lion Inn,black lion inn,GCAP29318,http://www.blacklioninn.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Braithwaite Engineers Ltd,braithwaite engineers,GCAP29357,http://www.braithwaite.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
C R Safety And Consumable Supplies Ltd,r safety consumable supplies,GCAP29389,http://www.crsafety.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cocoa Loco,cocoa loco,GCAP29488,http://www.cocoaloco.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Comas District,comas,GCAP4443,,,Peru,Latin American and Caribbean Group (GRULAC),,,City,,,20/10/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY ASSOCIATES LTD,delivery associates,GCAP29572,https://www.deliveryassociates.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Felicity Turner Copywriting,felicity turner copywriting,GCAP29750,http://www.felicityturnercopywriting.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Freie Universität Berlin,freie universität berlin,GCAP25265,https://www.fu-berlin.de/en/index.html,,Germany,Western European and Others Group (WEOG),,,Higher Education,,,20/10/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Gloversure Ltd,gloversure,GCAP29831,http://gloversure.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Greensphere Capital LLP,greensphere capital,GCAP29871,http://www.greenspherecapital.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hannah Turner Ltd,hannah turner,GCAP29899,http://www.hannahturner.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hochschule Magdeburg-Stendal,hochschule magdeburg-stendal,GCAP25266,https://www.h2.de/home.html,,Germany,Western European and Others Group (WEOG),,,Higher Education,,,20/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
International Biathlon Union,biathlon,GCAP19605,https://www.biathlonworld.com/calendar?CupLevel=1&SeasonId=2223&EventId=BT2223SWRLCP08,,Austria,Western European and Others Group (WEOG),,,Company,No sector specified,,20/10/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
International Institute of Chartered Humanitarians,institute humanitarians,,https://iichchartered.wixsite.com/humanitarian,,Nigeria,African Group,,,Higher Education,,,20/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Kazap Technologies LTD,kazap technologies,GCAP30088,https://kazap.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Knoll Printing & Packaging,knoll printing packaging,,http://knollpack.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
L&D Delights Ltd,l&d delights,,http://www.uniquality.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Ohkawa Printing,ohkawa printing,GCAP30385,https://www.ohkawa-inc.co.jp/,,Japan,Asia-Pacific Group,,,Company,No sector specified,,20/10/2021,Other,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Phranakhon Si Ayuthaya Rajabhat University,phranakhon ayuthaya rajabhat university,GCAP25268,www.aru.ac.th,,Thailand,Asia-Pacific Group,,,Higher Education,,,20/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Portsmouth Demolition & Salvage Ltd,portsmouth demolition salvage,,http://www.portsmouthdemolition.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Premier Foods PLC,premier foods,GCAP30495,https://www.premierfoods.co.uk/,213800ZD5I8XHNMCJA67,United Kingdom,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,20/10/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Responsible Travel,responsible travel,GCAP30588,http://www.responsibletravel.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ROO Franchising Limited,roo franchising,GCAP30605,http://@coffeeroos,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
UNIQA Insurance Group AG,uniqa insurance,GCAP25120,https://www.uniqagroup.com/gruppe/versicherung/index.en.html,,Austria,Western European and Others Group (WEOG),,,Financial Institution,,10- 100B,20/10/2021,Own Website,Own Website,,,Sep-24,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,
Walther Transaction,walther transaction,GCAP31056,https://www.walther-transaction.com/,,Germany,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
William Hare Group Limited,william hare,,https://www.hare.com/,213800W3CFZGI3E3UU36,United Kingdom,Western European and Others Group (WEOG),,,Company,Infrastructure,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Winncare,winncare,GCAP31097,http://mangarhealth.com%20or%20winncare.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cloetta AB,cloetta,GCAP622,https://www.cloetta.com/en/,549300CSLHPO6Y1AZN37,Sweden,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,20/10/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Himalayas Authentic Pvt Ltd,himalayas authentic,GCAP19849,http://Thekalimpongstore.com,,India,Asia-Pacific Group,,,SME,Retail,,20/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Rebecca Orde Ltd,rebecca orde,GCAP19714,http://www.rebeccaorde.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Allies Network C.I.C.,allies network,,http://www.allies-network.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
BSR,bsr,GCAP32991,,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Care Learning and Development,care learning development,,http://www.carelearninganddevelopment.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
House of Mythology,house mythology,,http://www.houseofmythology.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Intelligent Enterprise Products Ltd,intelligent products,GCAP31312,http://www.iep.ltd,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/09/2022,Did not - joined less than 12 months ago,,,,Mar-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,
Livraria Lello,livraria lello,,https://www.livrarialello.pt/,,Portugal,Western European and Others Group (WEOG),,,SME,Other,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Marshall & McCourt,marshall mccourt,,http://www.marshallandmccourt.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
OnePointFive,onepointfive,,http://www.opf.degree,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
TKSB (Industrial Development Bank of Turkey / Turkiye Sinai Kalkinma Bankasi),tksb industrial development turkey turkiye sinai kalkinma bankasi,,http://www.cevreciyiz.com/,,Turkey,Western European and Others Group (WEOG),,,Financial Institution,,$5.48 billion,20/09/2022,,Own Website,,,Mar-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Westfuller,westfuller,,,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,20/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Aberdeen Laundry Services Limited,aberdeen laundry services,GCAP24734,http://www.aberdeenls.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Appleby Manor Country House Hotel,appleby manor country house hotel,GCAP24677,http://www.applebymanor.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Barnett Waddingham,barnett waddingham,,www.barnett-waddingham.co.uk,,United Kingdom,Western European and Others Group (WEOG),,<250M,Company,Services,,20/09/2021,Own Website,,"Assets Under Advice is more appropriate than Assets Under Management. For our Investment Consulting business, this is c.$85bn",,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
Bath Property Maintenance,bath property maintenance,GCAP22904,www.bathpropertymaintenance.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Infrastructure,,20/09/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Belu Water Ltd,belu water,GCAP24464,http://www.belu.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
bfinance,bfinance,,www.bfinance.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,20/09/2021,,,Advised on investments exceeding $260+ billion. (Please note the majority of our relationships with clients are project focussed).,,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
Cambridge Associates,cambridge associates,,www.cambridgeassociates.com,,United States of America,Western European and Others Group (WEOG),,500M - 1B,Company,Services,$67bn,20/09/2021,Own Website,,"Assets Under advice is $481bn, figures as at Dec 2022.",,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
City of London,city london,GCAP24161,,,United Kingdom,Western European and Others Group (WEOG),,,City,,,20/09/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Desjardins Group,desjardins,GCAP777,desjardinsgroupeauto.com,549300DWS744T069Y590,Canada,Western European and Others Group (WEOG),,,Financial Institution,,,20/09/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Dundee and Angus College,dundee angus college,GCAP24874,https://dundeeandangus.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,20/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Ellers Farm Distillery,ellers farm distillery,GCAP24771,https://www.ellersfarmdistillery.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
EOS Security Limited,eos security,GCAP24622,http://www.eos-security.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
EPCL Consulting,epcl consulting,GCAP24513,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Fareham College,fareham college,GCAP24875,https://www.fareham.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,20/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Frontier Advisors,frontier advisors,,www.frontieradvisors.com.au,,Australia,Western European and Others Group (WEOG),,<250M,Company,Services,USD 415 billion,20/09/2021,Own Website,,Assets Under Mgt figure represents assets under advice as at 30 June 2023,,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
Gifts Online 4U Ltd,gifts online 4u,,http://www.giftsonline4u.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Giki,giki,,https://giki.earth/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,20/09/2021,Did not - support needed,Other,Member of SME Climate Hub,Published on SME Climate Hub,Mar-24,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,
GMC Stone Company Ltd,gmc stone,GCAP24534,http://www.gmc%20stone.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hospitality Sustainability Revolution,hospitality sustainability revolution,GCAP24445,http://www.hospitalitysr.com,,United States of America,Western European and Others Group (WEOG),,,SME,Hospitality,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
JANA Investment Advisors,jana investment advisors,,https://jana.com.au/,,Australia,Western European and Others Group (WEOG),,<250M,Financial Institution,,"£924,000,000.00",20/09/2021,Own Website,,"The Assets Under Management actually represents Assets Under Advice, which is more appropriate for our organisation. Additionally note that expanded reporting to be produced this year in line with NZICI requirements.",,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
"Lane Clark & Peacock LLP (""LCP"")","lane clark peacock ""lcp""",,www.lcp.com,N/A,United Kingdom,Western European and Others Group (WEOG),N/A,<250M,Company,Services,,20/09/2021,Own Website,,"Interim report published 5 January 2023 
Assets Under Advice is more appropriate than Assets Under Management. As at 31 Dec 2022 this was $244.35bn",,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
LYPH LTD,lyph,GCAP22863,http://www.lyph.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
McGowan Environmental Engineering Ltd,mcgowan environmental engineering,GCAP24730,http://www.mcgowanltd.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Oracle,oracle,GCAP2016,https://www.oracle.com/,,United States of America,Western European and Others Group (WEOG),,,Company,Services,,20/09/2021,Own Website,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Plantpassion,plantpassion,GCAP24471,https://www.plantpassion.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Promo2u.com,promo2u.com,GCAP24486,http://www.promo2u.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ROYALBEE - SISTEMAS DE HIGIENE PROFISSIONAL LDA,royalbee sistemas higiene profissional lda,GCAP24432,http://www.beepro.eu.com,,Portugal,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Stanley Black & Decker,stanley black decker,,stanleyblackanddecker.com,549300DJ09SMTO561131,United States of America,Western European and Others Group (WEOG),,,Company,Manufacturing,,20/09/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Supplyant,supplyant,GCAP24692,http://www.supplyant.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Clorox Company,clorox,GCAP623,thecloroxcompany.com,54930044KVSC06Z79I06,United States of America,Western European and Others Group (WEOG),,,Company,Manufacturing,,20/09/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Tulcán,tulcán,GCAP24291,,,Ecuador,Latin American and Caribbean Group (GRULAC),,,City,,,20/09/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Where Does It Come From?,where does it come from?,GCAP24629,http://www.wheredoesitcomefrom.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Good Energy,good energy,GCAP19730,http://www.goodenergy.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,20/09/2019,Own Website,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Penta Falcon,penta falcon,GCAP33573,http://www.pentafalcon.com,,Bangladesh,Asia-Pacific Group,,,SME,Infrastructure,,20/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Advice for Renters,advice renters,GCAP23494,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Critical Power Supplies Ltd,critical supplies,GCAP23485,http://www.criticalpowersupplies.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
CWP Global,cwp global,GCAP23482,http://www.cwp.global,,Singapore,Asia-Pacific Group,,,SME,Power generation,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
FNZ Ltd,fnz,GCAP22179,https://www.fnz.com/,2138008H1YNPC4OQXJ61,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,20/08/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Fundación Hospital San Pedro,fundación hospital san pedro,GCAP24097,https://www.hospitalsanpedro.org,,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,20/08/2021,Other,,Published target and annual emissions report,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
INDO Lighting,indo lighting,GCAP23488,https://indolighting.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Klean NRG Ltd,klean nrg,GCAP23489,http://www.klean-nrg.com,,Rwanda,African Group,,,SME,Power generation,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"Kokusai Kogyo Co., Ltd",kokusai kogyo,GCAP19552,https://www.kkc.co.jp/english/index.html,,Japan,Asia-Pacific Group,,,Company,No sector specified,,20/08/2021,Own Website,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,
Northstar Ventures Limited,northstar ventures,GCAP23486,http://www.northstarventures.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Salon Zero Ltd,salon zero,GCAP23483,http://www.salonzero.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Shrimps Ldn Ltd,shrimps ldn,GCAP23487,https://shrimps.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Scrub Hat Shop,scrub hat shop,GCAP23492,http://www.thescrubhatshop.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Toll House Spirits,toll house spirits,GCAP23481,http://www.tollhousespirits.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Tran Hung,tran hung,GCAP23493,http://www.tranhung.com,,Vietnam,Asia-Pacific Group,,,SME,Retail,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Yorkshire Media Ltd,yorkshire media,GCAP23490,http://yorkshiremedia.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Zehnder Group UK Limited,zehnder,GCAP23484,http://www.zehnder.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,20/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Australian Ethical Investment,australian ethical investment,GCAP14491,australianethical.com.au,261700TW5OWRLEFOCX59,Australia,Western European and Others Group (WEOG),,,Financial Institution,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
ALMIRALL S.A.,almirall,,,9.598E+22,Spain,Western European and Others Group (WEOG),,,Company,"Pharmaceuticals, Biotechnology and Life Sciences",,20/07/2023,,,NZ targets set,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
AVOCarbon Kunshan,avocarbon kunshan,,https://www.avocarbon.com/en/home-2/,,China,Asia-Pacific Group,,,Company,Automobiles and Components,,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Bismillah Textiles Limited,bismillah textiles,,http://www.bismillah.com.pk,,Pakistan,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Canadian Solar Inc.,canadian solar,,www.canadiansolar.com,5493001XSC6TKMBVOM15,Canada,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Cementir Holding N.V.,cementir,,https://www.cementirholding.com/en,8156008B101B97A43B02,Italy,Western European and Others Group (WEOG),,,Company,Construction Materials,,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Dabur India Limited,dabur india,,https://www.dabur.com/,335800MJPUA2E1FSFL38,India,Asia-Pacific Group,,,Company,"Consumer Durables, Household and Personal Products",,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Emirates NBD Bank (P.J.S.C.),emirates nbd p.j.s.c.,,https://www.emiratesnbd.com/en,54930029BCN8HF3B1286,United Arab Emirates,Asia-Pacific Group,,,Financial Institution,"Banks, Diverse Financials, Insurance",,20/07/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
EVCH UK Limited,evch,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Air Freight Transportation and Logistics,,20/07/2023,,,NZ targets set,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
