Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Carlsberg Group,carlsberg,GCAP551,carlsberggroup.com,5299001O0WJQYB5GYZ19,Denmark,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,12/03/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carmen de Areco,carmen areco,GCAP22112,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Carmen de Patagones,carmen patagones,GCAP3973,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Carnerillo,carnerillo,GCAP29420,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Carpenters Holdings Limited,carpenters,,www.carpentersgroup.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,01/12/2023,,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carrefour,carrefour,GCAP555,carrefour.es,549300B8P6MUJ1YWTS08,France,Western European and Others Group (WEOG),,,Company,Retail,,15/10/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carter Thermal Industries Group Ltd,carter thermal industries,,https://www.cti-ltd.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,23/02/2023,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CARTIER,cartier,GCAP22158,cartier.com,529900UC5WFH8T7VID35,Switzerland,Western European and Others Group (WEOG),,,Company,Apparel,,25/06/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cartus,cartus,,https://cartus.com/en/,,United States of America,Western European and Others Group (WEOG),,,Company,Professional Services,,19/10/2023,,,Net-zero commitment,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carv,carv,,http://www.getcarv.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Apparel,,13/04/2023,Did not - joined less than 12 months ago,Did not - support needed,,,Mar-23,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
carwow Ltd,carwow,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Software and Services,,07/12/2023,,,Targets set,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CASALUKER S.A,casaluker,GCAP24963,https://casaluker.com/,5493003Q8NDTZRED2F14,Colombia,Latin American and Caribbean Group (GRULAC),,,Company,"Food, beverage & agriculture",,23/09/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CasaToro S.A. BIC,casatoro bic,,,,Colombia,Latin American and Caribbean Group (GRULAC),,,Company,Retailing,,04/01/2024,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Case Western Reserve University,case western reserve university,GCAP19035,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Caseros,caseros,GCAP3974,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Casilda,casilda,GCAP4798,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Castel Maggiore,castel maggiore,GCAP7153,,,Italy,Western European and Others Group (WEOG),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Castellum,castellum,,https://castellum.com/,556475-5550,Sweden,Western European and Others Group (WEOG),,,SME,Other,,29/09/2020,Own Website,Did not - support needed,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,"Exponential Roadmap Iniative, SME Climate Hub"
Castleforge Partners,castleforge partners,GCAP32911,https://castleforge.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,4th May 2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Castrén & Snellman Attorneys Ltd,castren snellman attorneys,,castren.fi,743700QB8275ZUMKIE45,Finland,Western European and Others Group (WEOG),,,SME,Services,,11/09/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Catalent Pharma Solutions,catalent pharma solutions,GCAP22159,catalent.com,549300HALRZ339MSTH85,United States of America,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,15/07/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Catalonia,catalonia,GCAP3944,https://web.gencat.cat/ca/inici,,Spain,Western European and Others Group (WEOG),,,State or Region,,,09/01/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Under 2 Coalition
Catawba College,catawba college,GCAP19036,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
"Cathay Financial Holding Co., Ltd",cathay financial,GCAP29431,https://www.cathayholdings.com/holdings/intro/intro/about,5299009XR1QLFAMQ3X77,,,,,Financial Institution,Services,,20/01/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CATIE,catie,GCAP18867,https://catie.ac.cr/,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,Higher Education,,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Catriel,catriel,GCAP20544,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Caucaia,caucaia,GCAP24156,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cboe Exchange,cboe exchange,,https://www.cboe.com,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,26/06/2023,Did not - joined less than 12 months ago,,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA)
CBRE,cbre,GCAP454,https://www.cbre.com/,,United States of America,Western European and Others Group (WEOG),,,Company,No sector specified,,30th July 2021,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,"Net Zero Asset Managers Initiative, SBTi"
CCC Capital Group,capital,,https://corporate.ccc.eu/en/sustainability,,Poland,Eastern European Group,,,Company,Apparel,,28/01/2021,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Fashion Industry Charter for Climate Action
CCLA Investment Management,ccla investment management,GCAP16639,https://www.ccla.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
CDS S.p.A,cds,,,,Italy,Western European and Others Group (WEOG),,,Company,"Healthcare Providers and Services, and Healthcare Technology",,08/02/2024,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ceará,ceara,GCAP3836,https://www.ceara.gov.br/,,Brazil,Latin American and Caribbean Group (GRULAC),,,State or Region,,,10/01/2021,,,2021 reported to Under2 Ambition Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Under 2 Coalition
Cedara Inc.,cedara,,http://www.cedara.io,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,23/11/2022,Did not - joined less than 12 months ago,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
Cegal AS,cegal,,,,Norway,Western European and Others Group (WEOG),,,Company,Software and Services,,23/11/2023,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cégep de l'Outaouais,cegep l'outaouais,GCAP22636,http://www.cegepoutaouais.qc.ca/,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,29/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Cegep de Sherbrooke,cegep sherbrooke,GCAP19477,https://www.cegepsherbrooke.qc.ca/,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Cégep Drummondville,cegep drummondville,,www.cegepdrummond.ca,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,21/09/2022,Did not - joined less than 12 months ago,,,,Mar-23,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Cégep Heritage College,cegep heritage college,GCAP22637,http://www.cegep-heritage.qc.ca,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,28/05/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
CelcomDigi Berhad,celcomdigi,,,,Malaysia,Asia-Pacific Group,,,Company,Telecommunication Services,,21/12/2023,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CELLNEX TELECOM S.A.,cellnex telecom,GCAP573,https://www.cellnex.com/es/,5493008T4YG3AQUI7P67,Spain,Western European and Others Group (WEOG),,,Company,Services,,30/10/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Celonis,celonis,,celonis.com,,Germany,Western European and Others Group (WEOG),,,Company,Services,,13/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CEMAsys.com AS,cemasys.com,GCAP16437,https://portal.cemasys.com/,894500SMJAM7RIGXAL73,Norway,Western European and Others Group (WEOG),,,SME,Services,,11/09/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cement Australia Pty Ltd,cement australia,,https://www.cementaustralia.com.au/,,Australia,Western European and Others Group (WEOG),,,Company,Materials,,03/02/2023,,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cementir Holding N.V.,cementir,,https://www.cementirholding.com/en,8156008B101B97A43B02,Italy,Western European and Others Group (WEOG),,,Company,Construction Materials,,20/07/2023,,,Net-zero commitment,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"CEMEX, S.A.B de C.V.",cemex,GCAP459,https://www.cemexmexico.com/,549300RIG2CXWN6IV731,Mexico,Latin American and Caribbean Group (GRULAC),,,Company,Materials,,30/07/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CEN Group Holdings Ltd,cen,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Professional Services,,11/01/2024,,,Targets set,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Centeno,centeno,GCAP3975,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Centrais Elétricas Brasileiras S.A. - Eletrobras,centrais eletricas brasileiras eletrobras,,https://eletrobras.com/en/Paginas/Home.aspx,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",,31/08/2023,,,Net-zero commitment,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Central Bedfordshire College,central bedfordshire college,GCAP21312,https://centralbeds.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,29/01/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Central Co-op,central,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Food and Staples Retailing,,16/05/2024,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Central Community College,central college,GCAP19037,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Central Connecticut State University,central connecticut university,GCAP19038,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Central South University,central south university,GCAP22638,,,China,Asia-Pacific Group,,,Higher Education,,,29/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Central Students' Union,central students',GCAP21313,https://www.centralsu.com/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Centre College,centre college,GCAP19040,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Centro Médico ABC,centro medico abc,GCAP31226,https://www.centromedicoabc.com,,Mexico,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,22/03/2022,Did not - support needed,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Centro Universitário de Brusque - UNIFEBE,centro universitario brusque unifebe,,https://www.unifebe.edu.br/site/,,Brazil,Latin American and Caribbean Group (GRULAC),,,Higher Education,,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
CERATIZIT S.A.,ceratizit,,"www.ceratizit.com

https://www.linkedin.com/company/ceratizit/
https://www.facebook.com/ceratizit/
https://www.youtube.com/user/eCERATIZIT",529900538DENM4GFBL05,Luxembourg,Western European and Others Group (WEOG),,,Company,Manufacturing,,12/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ceres,ceres,GCAP20549,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cerrito,cerrito,GCAP18364,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
CEZ Group,cez,GCAP462,https://www.cez.cz/en/home,529900S5R9YHJHYKKG94,Czechia,Eastern European Group,,,Company,Power generation,,18/05/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CG CHEMIKALIEN GmbH & Co. HOLDING KG,cg chemikalien,,,,Germany,Western European and Others Group (WEOG),,,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,23/11/2023,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CGD (Caixa Geral de Depositos),cgd caixa geral depositos,,http://www.cgd.pt/,,Portugal,Western European and Others Group (WEOG),,,Financial Institution,,"£123,653,000,000.00",21/06/2021,,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,"Net Zero Banking Alliance, SBTi"
CGI IT UK LTD,cgi it,GCAP19922,https://www.cgi.com/uk/en-gb,549300WSRCZY73ZG3090,Canada,Western European and Others Group (WEOG),,,Company,Services,,23/11/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
CH&CO CATERING GROUP LIMITED,ch&co catering,,chase.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Hospitality,,13/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chacabuco,chacabuco,GCAP3976,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chaitanya Bharathi Institute of Technology,chaitanya bharathi institute technology,GCAP25298,,,India,Asia-Pacific Group,,,Higher Education,,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chaity Composite Ltd,chaity composite,,https://www.chaity.com/,,Bangladesh,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,09/03/2023,,,Net-Zero Commitment,,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chalhoub Group,chalhoub,,chalhoubgroup.com,,United Arab Emirates,Asia-Pacific Group,,,Company,Retail,,15/09/2022,,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chalmers University of Tehnology,chalmers university tehnology,,https://www.chalmers.se/en/Pages/default.aspx,,Sweden,Western European and Others Group (WEOG),,,Higher Education,,,04/03/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chambers Federation,chambers federation,GCAP18121,chambersfederation.com,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,27/10/2019,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chañar Ladeado,chanar ladeado,GCAP3977,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chandler-Gilbert Community College,chandler-gilbert college,GCAP19041,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chandrapur,chandrapur,GCAP24157,,,India,Asia-Pacific Group,,,City,,,29/01/2022,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
"CHANG HWA COMMERCIAL BANK, LTD.",chang hwa commercial,,,549300FHFNGCSKDTHT42,"Taiwan, a province of China",Asia-Pacific Group,,,Financial Institution,"Banks, Diverse Financials, Insurance",,26/10/2023,,,Net-zero commitment,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chang'an University,chang'an university,GCAP22639,,,China,Asia-Pacific Group,,,Higher Education,,,29/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Changwon,changwon,GCAP11553,,,South Korea,Asia-Pacific Group,,,City,,,26/08/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
"Changzhou New Wide Knitting & Dyeing Co., Ltd.",changzhou new wide knitting dyeing,,www.newwide.com,,China,Asia-Pacific Group,,,Company,Apparel,,10/06/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Channel 4,channel 4,GCAP21798,channel3000.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,05/10/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Channel Four Television Corporation,channel four television,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Media,,14/12/2023,,,Targets set,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Charleroi,charleroi,GCAP5331,,,Belgium,Western European and Others Group (WEOG),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
"Charles River Laboratories, Inc.",charles river laboratories,GCAP584,https://www.criver.com/,549300BSQ0R4UZ5KX287,United States of America,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,02/02/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Charles Taylor,charles taylor,GCAP33259,charlestaylor.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,25/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Charlie Bigham's,charlie bigham's,,https://www.bighams.com/,9845008F7009BABAC079,United Kingdom,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,23/03/2023,,,Net-Zero Commitment,,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Charlotte,charlotte,GCAP4665,,,United States of America,Western European and Others Group (WEOG),,,City,,,10/11/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Charoen Pokphand Foods Public Company Limited,charoen pokphand foods,GCAP29442,cpfworldwide.com,529900FJ3AI2GKGIWK15,Thailand,Asia-Pacific Group,,,Company,"Food, beverage & agriculture",,02/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Charoen Pokphand Group Co., Ltd.",charoen pokphand,GCAP587,https://www.cpgroupglobal.com/,254900EDH4XZT6UXKU54,Thailand,Asia-Pacific Group,,,Company,"Food, beverage & agriculture",,14/09/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Charter Next Generation,charter next generation,,,,United States of America,Western European and Others Group (WEOG),,,Company,Containers and Packaging,,28/09/2023,,,NZ targets set,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Château Troplong Mondot,chateau troplong mondot,GCAP29443,www.troplong-mondot.com,,France,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,09/01/2021,IWCA Annual Report,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,International Wineries for Climate Action (IWCA)
Chatham University,chatham university,GCAP19042,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chattanooga,chattanooga,GCAP24158,,,United States of America,Western European and Others Group (WEOG),,,City,,,14/10/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chefchaouen,chefchaouen,GCAP11254,,,Morocco,African Group,,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chelmsford College,chelmsford college,GCAP25270,https://chelmsford.ac.uk,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chelsea,chelsea,GCAP24159,,,United States of America,Western European and Others Group (WEOG),,,City,,,10/05/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cheltenham,cheltenham,GCAP21077,,,United Kingdom,Western European and Others Group (WEOG),,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chemeketa Community College,chemeketa college,GCAP19043,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chemonics International,chemonics,,chemonics.com,549300MYSLM47NMV8N76,United States of America,Western European and Others Group (WEOG),,,Company,Services,,01/05/2023,CDP,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Chendhuran College of Engineering and Technology,chendhuran college engineering technology,GCAP25299,,,India,Asia-Pacific Group,,,Higher Education,,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Chengdu,chengdu,GCAP4204,,,China,Asia-Pacific Group,,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chennai,chennai,GCAP4301,,,India,Asia-Pacific Group,,,City,,,-,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
"CHENNAI INSTITUTE OF TECHNOLOGY, CHENNAI",chennai institute technology chennai,GCAP25300,,,India,Asia-Pacific Group,,,Higher Education,,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Cherbourg-en-Cotentin,cherbourg-en-cotentin,GCAP14877,,,France,Western European and Others Group (WEOG),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Chesapeake College,chesapeake college,GCAP19044,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Cheshire College - South & West,cheshire college south west,GCAP21315,https://www.ccsw.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,27/03/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
